place,place_type,county,allocated,curr_released,pct_released
City of Bruceville-Eddy,City/Town,McLennan,93005,18601,0.2
City of Crawford,City/Town,McLennan,41470,8294,0.2
City of Gholson,City/Town,McLennan,61490,12298,0.2
City of Golinda,City/Town,McLennan,8415,1683,0.2
City of Hewitt,City/Town,McLennan,834295,166859,0.2
City of Lacy-Lakeview,City/Town,McLennan,385550,77110,0.2
City of Leroy,City/Town,McLennan,18975,3795,0.2
City of Lorena,City/Town,McLennan,97680,19536,0.2
City of Mart,City/Town,McLennan,112255,22451,0.2
City of McGregor,City/Town,McLennan,291280,58256,0.2
City of Riesel,City/Town,McLennan,57805,11561,0.2
City of Robinson,City/Town,McLennan,654720,130944,0.2
City of Ross,City/Town,McLennan,15675,3135,0.2
City of Valley Mills,City/Town,McLennan,715,143,0.2
City of Waco,City/Town,McLennan,7662820,1532564,0.2
City of West,City/Town,McLennan,157905,31581,0.2
City of Woodway,City/Town,McLennan,508750,101750,0.2
City of Bruceville-Eddy,City/Town,McLennan,102575,20515,0.2
City of Hallsburg,City/Town,McLennan,25520,5104,0.2
McMullen County,County,McMullen,40865,8173,0.2
Medina County,County,Medina,1680360,336072,0.2
City of Castroville,City/Town,Medina,171105,34221,0.2
City of Devine,City/Town,Medina,269225,53845,0.2
City of Hondo,City/Town,Medina,523710,104742,0.2
City of LaCoste,City/Town,Medina,70785,14157,0.2
City of Lytle,City/Town,Medina,30910,6182,0.2
City of Natalia,City/Town,Medina,89485,17897,0.2
City of San Antonio,City/Town,Medina,1540,308,0.2
Menard County,County,Menard,40590,8118,0.2
City of Menard,City/Town,Menard,77000,15400,0.2
Midland County,County,Midland,1655885,331177,0.2
Midland County,County,Midland,1655885,331177,0.2
City of Midland,City/Town,Midland,7953000,1590600,0.2
City of Midland,City/Town,Midland,7953000,1590600,0.2
City of Odessa,City/Town,Midland,116875,23375,0.2
Milam County,County,Milam,610115,122023,0.2
City of Buckholts,City/Town,Milam,29920,5984,0.2
City of Cameron,City/Town,Milam,309595,61919,0.2
City of Milano,City/Town,Milam,25080,5016,0.2
City of Rockdale,City/Town,Milam,312675,62535,0.2
City of Thorndale,City/Town,Milam,77880,15576,0.2
Mills County,County,Mills,153450,30690,0.2
City of Goldthwaite,City/Town,Mills,104665,20933,0.2
City of Goldthwaite,City/Town,Mills,104665,20933,0.2
City of Mullin,City/Town,Mills,9900,1980,0.2
Mitchell County,County,Mitchell,220715,44143,0.2
City of Colorado City,City/Town,Mitchell,204820,40964,0.2
City of Loraine,City/Town,Mitchell,31350,6270,0.2
City of Westbrook,City/Town,Mitchell,13090,2618,0.2
Montague County,County,Montague,580635,116127,0.2
City of Bowie,City/Town,Montague,282535,56507,0.2
City of Nocona,City/Town,Montague,166980,33396,0.2
City of St. Jo,City/Town,Montague,59840,11968,0.2
Moore County,County,Moore,121330,24266,0.2
City of Cactus,City/Town,Moore,172865,34573,0.2
City of Dumas,City/Town,Moore,757350,151470,0.2
City of Fritch,City/Town,Moore,440,88,0.2
City of Sunray,City/Town,Moore,99715,19943,0.2
Morris County,County,Morris,342650,68530,0.2
City of Daingerfield,City/Town,Morris,130020,26004,0.2
City of Hughes Springs,City/Town,Morris,330,66,0.2
City of Lone Star,City/Town,Morris,80685,16137,0.2
City of Naples,City/Town,Morris,73645,14729,0.2
City of Omaha,City/Town,Morris,54010,10802,0.2
Motley County,County,Motley,19140,3828,0.2
City of Matador,City/Town,Motley,33825,6765,0.2
City of Roaring Springs,City/Town,Motley,13035,2607,0.2
Nacogdoches County,County,Nacogdoches,1601985,320397,0.2
City of Appleby,City/Town,Nacogdoches,27225,5445,0.2
City of Chireno,City/Town,Nacogdoches,21285,4257,0.2
City of Cushing,City/Town,Nacogdoches,33605,6721,0.2
City of Garrison,City/Town,Nacogdoches,49940,9988,0.2
City of Nacogdoches,City/Town,Nacogdoches,1852180,370436,0.2
Navarro County,County,Navarro,945230,189046,0.2
City of Angus,City/Town,Navarro,25190,5038,0.2
City of Barry,City/Town,Navarro,14410,2882,0.2
City of Blooming Grove,City/Town,Navarro,46915,9383,0.2
City of Corsicana,City/Town,Navarro,1362020,272404,0.2
City of Dawson,City/Town,Navarro,44715,8943,0.2
City of Emhouse,City/Town,Navarro,7810,1562,0.2
City of Eureka,City/Town,Navarro,17875,3575,0.2
City of Frost,City/Town,Navarro,35805,7161,0.2
City of Goodlow,City/Town,Navarro,10890,2178,0.2
City of Kerens,City/Town,Navarro,87120,17424,0.2
City of Mildred,City/Town,Navarro,21450,4290,0.2
City of Mustang,City/Town,Navarro,1265,253,0.2
City of Navarro,City/Town,Navarro,11605,2321,0.2
City of Oak Valley,City/Town,Navarro,22055,4411,0.2
City of Powell,City/Town,Navarro,8140,1628,0.2
City of Retreat,City/Town,Navarro,22550,4510,0.2
City of Rice,City/Town,Navarro,56320,11264,0.2
City of Richland,City/Town,Navarro,14850,2970,0.2
Newton County,County,Newton,618365,123673,0.2
City of Newton,City/Town,Newton,129360,25872,0.2
Nolan County,County,Nolan,149160,29832,0.2
City of Blackwell,City/Town,Nolan,16225,3245,0.2
City of Roscoe,City/Town,Nolan,70015,14003,0.2
City of Sweetwater,City/Town,Nolan,573870,114774,0.2
Nueces County,County,Nueces,830665,166133,0.2
City of Agua Dulce,City/Town,Nueces,45815,9163,0.2
City of Aransas Pass,City/Town,Nueces,770,154,0.2
City of Bishop,City/Town,Nueces,172370,34474,0.2
City of Corpus Christi,City/Town,Nueces,17960470,3592094,0.2
City of Driscoll,City/Town,Nueces,41195,8239,0.2
City of Petronila,City/Town,Nueces,6160,1232,0.2
City of Port Aransas,City/Town,Nueces,228745,45749,0.2
City of Robstown,City/Town,Nueces,616385,123277,0.2
City of San Patricio,City/Town,Nueces,23595,4719,0.2
Ochiltree County,County,Ochiltree,63745,12749,0.2
City of Perryton,City/Town,Ochiltree,477235,95447,0.2
City of Oldham Country,City/Town,Ochiltree,57750,11550,0.2
City of Adrian,City/Town,Ochiltree,8635,1727,0.2
City of Vega,City/Town,Ochiltree,49775,9955,0.2
Orange County,County,Orange,2271500,454300,0.2
City of Bridge City,City/Town,Orange,434500,86900,0.2
City of Orange,City/Town,Orange,1036585,207317,0.2
City of Pine Forest,City/Town,Orange,27775,5555,0.2
City of Rose City,City/Town,Orange,28105,5621,0.2
City of Vidor,City/Town,Orange,602525,120505,0.2
City of West Orange,City/Town,Orange,185790,37158,0.2
Palo Pinto County,County,Palo Pinto,542575,108515,0.2
City of Gordon,City/Town,Palo Pinto,26620,5324,0.2
City of Graford,City/Town,Palo Pinto,34650,6930,0.2
City of Mineral Wells,City/Town,Palo Pinto,951225,190245,0.2
City of Mingus,City/Town,Palo Pinto,13695,2739,0.2
City of Strawn,City/Town,Palo Pinto,36630,7326,0.2
Panola County,County,Panola,821590,164318,0.2
City of Beckville,City/Town,Panola,51315,10263,0.2
City of Carthage,City/Town,Panola,385220,77044,0.2
City of Gary City,City/Town,Panola,17545,3509,0.2
Parker County,County,Parker,4713115,942623,0.2
City of Aledo,City/Town,Parker,225775,45155,0.2
City of Annetta,City/Town,Parker,168685,33737,0.2
City of Annetta North,City/Town,Parker,31075,6215,0.2
City of Annetta South,City/Town,Parker,32450,6490,0.2
City of Azle,City/Town,Parker,121275,24255,0.2
City of Cool,City/Town,Parker,10175,2035,0.2
City of Cresson,City/Town,Parker,31570,6314,0.2
City of Fort Worth,City/Town,Parker,440,88,0.2
City of Hudson Oaks,City/Town,Parker,126005,25201,0.2
City of Millsap,City/Town,Parker,24530,4906,0.2
City of Reno,City/Town,Parker,166485,33297,0.2
City of Sanctuary,City/Town,Parker,18315,3663,0.2
City of Springtown,City/Town,Parker,169730,33946,0.2
City of Weatherford,City/Town,Parker,1715340,343068,0.2
City of Willow Park,City/Town,Parker,303325,60665,0.2
Parmer County,County,Parmer,139590,27918,0.2
City of Bovina,City/Town,Parmer,99385,19877,0.2
City of Farwell,City/Town,Parmer,72930,14586,0.2
City of Friona,City/Town,Parmer,216370,43274,0.2
Pecos County,County,Pecos,350515,70103,0.2
City of Fort Stockton,City/Town,Pecos,455620,91124,0.2
City of Iraan,City/Town,Pecos,64130,12826,0.2
Polk County,County,Polk,2276670,455334,0.2
City of Corrigan,City/Town,Polk,93005,18601,0.2
City of Goodrich,City/Town,Polk,17160,3432,0.2
City of Livingston,City/Town,Polk,291610,58322,0.2
City of Onalaska,City/Town,Polk,139480,27896,0.2
City of Seven Oaks,City/Town,Polk,6490,1298,0.2
Potter County,County,Potter,715935,143187,0.2
City of Amarillo,City/Town,Potter,5732210,1146442,0.2
City of Bishop Hills,City/Town,Potter,9680,1936,0.2
Presidio County,County,Presidio,59235,11847,0.2
City of Marfa,City/Town,Presidio,91630,18326,0.2
City of Presidio,City/Town,Presidio,217855,43571,0.2
Rains County,County,Rains,502425,100485,0.2
City of East Tawakoni,City/Town,Rains,54560,10912,0.2
City of Emory,City/Town,Rains,79420,15884,0.2
City of Point,City/Town,Rains,51865,10373,0.2
Randall County,County,Randall,1258675,251735,0.2
City of Amarillo,City/Town,Randall,5263610,1052722,0.2
City of Canyon,City/Town,Randall,920315,184063,0.2
City of Happy,City/Town,Randall,36795,7359,0.2
City of Lake Tanglewood,City/Town,Randall,48675,9735,0.2
City of Palisades,City/Town,Randall,19140,3828,0.2
City of Timbercreek Canyon,City/Town,Randall,27060,5412,0.2
Reagan County,County,Reagan,14190,2838,0.2
City of Big Lake,City/Town,Reagan,197505,39501,0.2
Real County,County,Real,120175,24035,0.2
City of Camp Wood,City/Town,Real,41965,8393,0.2
City of Leakey,City/Town,Real,27720,5544,0.2
Red River County,County,Red River,349415,69883,0.2
City of Annona,City/Town,Red River,15950,3190,0.2
City of Avery,City/Town,Red River,24420,4884,0.2
City of Bogata,City/Town,Red River,59400,11880,0.2
City of Clarksville,City/Town,Red River,173745,34749,0.2
City of Detroit,City/Town,Red River,38335,7667,0.2
Reeves County,County,Reeves,273900,54780,0.2
City of Balmorhea,City/Town,Reeves,31130,6226,0.2
City of Pecos,City/Town,Reeves,568205,113641,0.2
City of Toyah,City/Town,Reeves,5445,1089,0.2
Refugio County,County,Refugio,131890,26378,0.2
City of Austwell,City/Town,Refugio,7975,1595,0.2
City of Bayside,City/Town,Refugio,16225,3245,0.2
City of Refugio,City/Town,Refugio,148005,29601,0.2
City of Woodsboro,City/Town,Refugio,78045,15609,0.2
Roberts County,County,Roberts,16665,3333,0.2
City of Miami,City/Town,Roberts,30305,6061,0.2
Robertson County,County,Robertson,464860,92972,0.2
City of Bremond,City/Town,Robertson,54505,10901,0.2
City of Calvert,City/Town,Robertson,62810,12562,0.2
City of Franklin,City/Town,Robertson,93390,18678,0.2
City of Hearne,City/Town,Robertson,263505,52701,0.2
Rockwall County,County,Rockwall,788260,157652,0.2
City of Fate,City/Town,Rockwall,793485,158697,0.2
City of Heath,City/Town,Rockwall,462935,92587,0.2
City of McLendon-Chisholm,City/Town,Rockwall,171215,34243,0.2
City of Mobile City,City/Town,Rockwall,11440,2288,0.2
City of Rockwall,City/Town,Rockwall,2426655,485331,0.2
City of Rowlett,City/Town,Rockwall,439065,87813,0.2
City of Royse City,City/Town,Rockwall,596310,119262,0.2
City of Wylie,City/Town,Rockwall,80960,16192,0.2
Runnels County,County,Runnels,198990,39798,0.2
City of Ballinger,City/Town,Runnels,188155,37631,0.2
City of Miles,City/Town,Runnels,45925,9185,0.2
City of Winters,City/Town,Runnels,131450,26290,0.2
Rusk County,County,Rusk,1746580,1047948,0.6
City of Easton,City/Town,Rusk,2915,583,0.2
City of Henderson,City/Town,Rusk,743435,148687,0.2
City of Kilgore,City/Town,Rusk,194150,38830,0.2
City of Mount Enterprise,City/Town,Rusk,24145,4829,0.2
City of New London,City/Town,Rusk,54780,10956,0.2
City of Overton,City/Town,Rusk,137500,27500,0.2
City of Reklaw,City/Town,Rusk,8800,1760,0.2
City of Tatum,City/Town,Rusk,80025,16005,0.2
Sabine County,County,Sabine,465465,93093,0.2
City of Hemphill,City/Town,Sabine,69080,13816,0.2
City of Pineland,City/Town,Sabine,45265,9053,0.2
San Augustine County,County,San Augustine,336655,67331,0.2
City of Broaddus,City/Town,San Augustine,11275,2255,0.2
City of San Augustine,City/Town,San Augustine,105105,21021,0.2
San Jacinto County,County,San Jacinto,1349425,269885,0.2
City of Coldspring,City/Town,San Jacinto,53625,10725,0.2
City of Point Blank,City/Town,San Jacinto,41195,8239,0.2
City of Shepherd,City/Town,San Jacinto,143000,28600,0.2
San Patricio County,County,San Patricio,488510,97702,0.2
City of Aransas Pass,City/Town,San Patricio,405680,81136,0.2
City of Gregory,City/Town,San Patricio,105600,21120,0.2
City of Ingleside,City/Town,San Patricio,536470,107294,0.2
City of Ingleside on the Bay,City/Town,San Patricio,32120,6424,0.2
City of Lake City,City/Town,San Patricio,28270,5654,0.2
City of Lakeside,City/Town,San Patricio,16995,3399,0.2
City of Mathis,City/Town,San Patricio,260975,52195,0.2
City of Odem,City/Town,San Patricio,131450,26290,0.2
City of Portland,City/Town,San Patricio,1218305,243661,0.2
City of Sinton,City/Town,San Patricio,282315,56463,0.2
City of Taft,City/Town,San Patricio,163460,32692,0.2
San Saba County,County,San Saba,131340,26268,0.2
City of Richland Springs,City/Town,San Saba,19250,3850,0.2
City of San Saba,City/Town,San Saba,182435,36487,0.2
Schleicher County,County,Schleicher,59180,11836,0.2
City of Eldorado,City/Town,Schleicher,94435,18887,0.2
Scurry County,County,Scurry,292765,58553,0.2
City of Snyder,City/Town,Scurry,625900,125180,0.2
Shackelford County,County,Shackelford,56760,11352,0.2
City of Albany,City/Town,Shackelford,108515,21703,0.2
City of Moran,City/Town,Shackelford,14300,2860,0.2
Shelby County,County,Shelby,905685,181137,0.2
City of Center,City/Town,Shelby,293975,58795,0.2
City of Huxley,City/Town,Shelby,20680,4136,0.2
City of Joaquin,City/Town,Shelby,43450,8690,0.2
City of Tenaha,City/Town,Shelby,63965,12793,0.2
City of Timpson,City/Town,Shelby,62315,12463,0.2
Sherman County,County,Sherman,30965,6193,0.2
City of Stratford,City/Town,Sherman,116545,23309,0.2
City of Texhoma,City/Town,Sherman,18700,3740,0.2
Smith County,County,Smith,5393850,1078770,0.2
City of Arp,City/Town,Smith,56595,11319,0.2
City of Bullard,City/Town,Smith,192060,38412,0.2
City of Hideaway,City/Town,Smith,174460,34892,0.2
City of Lindale,City/Town,Smith,353870,70774,0.2
City of New Chapel Hill,City/Town,Smith,34650,6930,0.2
City of Noonday,City/Town,Smith,44275,8855,0.2
City of Troup,City/Town,Smith,108625,22429,0.20648101265822785
City of Tyler,City/Town,Smith,5915195,1183039,0.2
City of Whitehouse,City/Town,Smith,495110,99022,0.2
City of Winona,City/Town,Smith,32615,6523,0.2
Somervell County,County,Somervell,347105,69421,0.2
City of Glen Rose,City/Town,Somervell,154935,30987,0.2
Starr County,County,Starr,1836945,367389,0.2
City of Escobares,City/Town,Starr,156970,31394,0.2
City of Escobares,City/Town,Starr,156970,31394,0.2
City of La Grulla,City/Town,Starr,92180,18436,0.2
City of Loma Vista CDP,City/Town,Starr,9405,1881,0.2
City of Rio Grande City,City/Town,Starr,827695,165539,0.2
City of Roma,City/Town,Starr,631620,126324,0.2
City of Roma,City/Town,Starr,631620,126324,0.2
Stephens County,County,Stephens,195745,39149,0.2
City of Breckenridge,City/Town,Stephens,319385,63877,0.2
Sterling County,County,Sterling,15730,3146,0.2
City of Sterling City,City/Town,Sterling,55275,11055,0.2
Stonewall County,County,Stonewall,26565,5313,0.2
City of Aspermont,City/Town,Stonewall,47685,9537,0.2
Sutton County,County,Sutton,39985,7997,0.2
City of Sonora,City/Town,Sutton,167695,33539,0.2
Swisher County,County,Swisher,111210,22242,0.2
City of Kress,City/Town,Swisher,37785,7557,0.2
City of Tulia,City/Town,Swisher,257840,51568,0.2
Taylor County,County,Taylor,812075,162415,0.2
City of Buffalo Gap,City/Town,Taylor,27390,5478,0.2
City of Impact,City/Town,Taylor,1815,363,0.2
City of Lawn,City/Town,Taylor,17270,3454,0.2
City of Merkel,City/Town,Taylor,146080,29216,0.2
City of Trent,City/Town,Taylor,18700,3740,0.2
City of Tuscola,City/Town,Taylor,41360,8272,0.2
City of Tye,City/Town,Taylor,72270,14454,0.2
City of Abilene,City/Town,Taylor,6454910,1352989,0.20960617576387588
Terrell County,County,Terrell,42680,8536,0.2
Terry County,County,Terry,114180,22836,0.2
City of Brownfield,City/Town,Terry,521620,104324,0.2
City of Meadow,City/Town,Terry,31790,6358,0.2
City of Wellman,City/Town,Terry,10945,2189,0.2
Throckmorton County,County,Throckmorton,26785,5357,0.2
City of Throckmorton,City/Town,Throckmorton,42020,8404,0.2
City of Woodson,City/Town,Throckmorton,13750,2750,0.2
City of Titus,City/Town,Throckmorton,786335,157267,0.2
City of Miller's Cove,City/Town,Throckmorton,8580,1716,0.2
City of Mount Pleasant,City/Town,Throckmorton,948035,189607,0.2
City of Talco,City/Town,Throckmorton,28490,5698,0.2
City of Winfield,City/Town,Throckmorton,29810,5962,0.2
City of Tom Green,City/Town,Throckmorton,1067330,213466,0.2
City of San Angelo,City/Town,Throckmorton,5488670,1097734,0.2
Trinity County,County,Trinity,594110,118822,0.2
City of Groveton,City/Town,Trinity,59620,11924,0.2
City of Trinity,City/Town,Trinity,152075,30415,0.2
Tyler County,County,Tyler,879010,175802,0.2
City of Chester,City/Town,Tyler,17820,3564,0.2
City of Colmesneil,City/Town,Tyler,33605,6721,0.2
City of Ivanhoe,City/Town,Tyler,110495,22099,0.2
City of Woodville,City/Town,Tyler,151030,30206,0.2
Upshur County,County,Upshur,1673650,334730,0.2
City of Big Sandy,City/Town,Upshur,76120,15224,0.2
City of East Mountain,City/Town,Upshur,46035,9207,0.2
City of Gilmer,City/Town,Upshur,276760,55352,0.2
City of Gladewater,City/Town,Upshur,135850,27170,0.2
City of Ore City,City/Town,Upshur,67045,13409,0.2
City of Union Grove,City/Town,Upshur,20515,4103,0.2
City of Warren,City/Town,Upshur,440,88,0.2
Upton County,County,Upton,38390,7678,0.2
City of McCamey,City/Town,Upton,115665,23133,0.2
City of Rankin,City/Town,Upton,47080,9416,0.2
Uvalde County,County,Uvalde,474210,94842,0.2
City of Sabinal,City/Town,Uvalde,96305,19261,0.2
City of Uvalde,City/Town,Uvalde,900240,180048,0.2
Val Verde County,County,Val Verde,724515,144903,0.2
City of Del Rio,City/Town,Val Verde,1971860,394372,0.2
Van Zandt County,County,Van Zandt,2229535,445907,0.2
City of Canton,City/Town,Van Zandt,220825,44165,0.2
City of Edgewood,City/Town,Van Zandt,85580,17116,0.2
City of Edom,City/Town,Van Zandt,22550,4510,0.2
City of Fruitvale,City/Town,Van Zandt,23870,4774,0.2
City of Grand Saline,City/Town,Van Zandt,180620,36124,0.2
City of Van,City/Town,Van Zandt,159500,31900,0.2
City of Wills Point,City/Town,Van Zandt,209770,41954,0.2
Victoria County,County,Victoria,1361690,272338,0.2
City of Victoria,City/Town,Victoria,3702930,740586,0.2
Walker County,County,Walker,1642740,328548,0.2
City of Huntsville,City/Town,Walker,2279915,455983,0.2
City of New Waverly,City/Town,Walker,60005,12001,0.2
City of Riverside,City/Town,Walker,30745,6149,0.2
Waller County,County,Waller,1609355,321871,0.2
City of Brookshire,City/Town,Waller,312675,62535,0.2
City of Hempstead,City/Town,Waller,401995,80399,0.2
City of Katy,City/Town,Waller,99330,19866,0.2
City of Pattison,City/Town,Waller,33055,6611,0.2
City of Pine Island,City/Town,Waller,65450,13090,0.2
City of Prairie View,City/Town,Waller,360800,72160,0.2
City of Waller,City/Town,Waller,155870,31174,0.2
Ward County,County,Ward,132990,26598,0.2
City of Barstow,City/Town,Ward,20735,4147,0.2
City of Grandfalls,City/Town,Ward,20955,4191,0.2
City of Monahans,City/Town,Ward,420090,84018,0.2
City of Pyote,City/Town,Ward,7205,1441,0.2
City of Thorntonville,City/Town,Ward,28325,5665,0.2
City of Wickett,City/Town,Ward,29590,5918,0.2
Washington County,County,Washington,980595,196119,0.2
City of Brenham,City/Town,Washington,976360,195272,0.2
City of Burton,City/Town,Washington,16555,3311,0.2
Webb County,County,Webb,35365,7073,0.2
City of El Cenizo,City/Town,Webb,171545,34309,0.2
City of Laredo,City/Town,Webb,14743135,2948627,0.2
City of Rio Bravo,City/Town,Webb,265815,53163,0.2
Wharton County,County,Wharton,1032515,206503,0.2
City of East Bernard,City/Town,Wharton,130185,26037,0.2
City of El Campo,City/Town,Wharton,648010,129602,0.2
City of Wharton,City/Town,Wharton,474870,94974,0.2
Wheeler County,County,Wheeler,92345,18469,0.2
City of Mobeetie,City/Town,Wheeler,5280,1056,0.2
City of Shamrock,City/Town,Wheeler,98835,19767,0.2
City of Wheeler,City/Town,Wheeler,81620,16324,0.2
Wichita County,County,Wichita,267080,53416,0.2
City of Burkburnett,City/Town,Wichita,617265,123453,0.2
City of Cashion Community,City/Town,Wichita,19085,3817,0.2
City of Electra,City/Town,Wichita,150700,30140,0.2
City of Iowa Park,City/Town,Wichita,350020,70004,0.2
City of Pleasant Valley,City/Town,Wichita,18590,3718,0.2
City of Wichita Falls,City/Town,Wichita,5849910,1169982,0.2
Wilbarger County,County,Wilbarger,141955,28391,0.2
City of Vernon,City/Town,Wilbarger,560340,112068,0.2
Willacy County,County,Willacy,389015,77803,0.2
City of Lyford,City/Town,Willacy,141680,28336,0.2
City of Raymondville,City/Town,Willacy,612920,122584,0.2
City of San Perlita,City/Town,Willacy,31075,6215,0.2
Wilson County,County,Wilson,2075095,415019,0.2
City of Floresville,City/Town,Wilson,435985,87197,0.2
City of La Vernia,City/Town,Wilson,76285,15257,0.2
City of Nixon,City/Town,Wilson,440,88,0.2
City of Poth,City/Town,Wilson,128260,25652,0.2
City of Stockdale,City/Town,Wilson,92785,18557,0.2
Winkler County,County,Winkler,43945,8789,0.2
City of Kermit,City/Town,Winkler,339790,67958,0.2
City of Wink,City/Town,Winkler,56815,11363,0.2
Wise County,County,Wise,2354495,470899,0.2
City of Alvord,City/Town,Wise,88275,17655,0.2
City of Aurora,City/Town,Wise,86680,17336,0.2
City of Boyd,City/Town,Wise,80685,16137,0.2
City of Bridgeport,City/Town,Wise,390060,78012,0.2
City of Chico,City/Town,Wise,64350,12870,0.2
City of Decatur,City/Town,Wise,385715,77143,0.2
City of Lake Bridgeport,City/Town,Wise,21890,4378,0.2
City of New Fairview,City/Town,Wise,86955,17391,0.2
City of Newark,City/Town,Wise,67540,13508,0.2
City of Paradise,City/Town,Wise,31460,6292,0.2
City of Rhome,City/Town,Wise,106315,21263,0.2
City of Runaway Bay,City/Town,Wise,84700,16940,0.2
Wood County,County,Wood,1862465,372493,0.2
City of Alba,City/Town,Wood,30470,6094,0.2
City of Hawkins,City/Town,Wood,76560,15312,0.2
City of Mineola,City/Town,Wood,266365,53273,0.2
City of Quitman,City/Town,Wood,103840,20768,0.2
City of Winnsboro,City/Town,Wood,142340,28468,0.2
City of Yantis,City/Town,Wood,22605,4521,0.2
Yoakum County,County,Yoakum,119130,23826,0.2
City of Denver City,City/Town,Yoakum,268290,53658,0.2
City of Plains,City/Town,Yoakum,91795,18359,0.2
Young County,County,Young,294965,58993,0.2
City of Graham,City/Town,Young,492250,98450,0.2
City of Newcastle,City/Town,Young,30745,6149,0.2
City of Olney,City/Town,Young,172590,34518,0.2
Zavala County,County,Zavala,251350,50270,0.2
City of Crystal City,City/Town,Zavala,399850,79970,0.2
Zapata County,County,Zapata,779845,155969,0.2
