county_name,population,03_04,03_05,03_06,03_09,03_10,03_11,03_12,03_13,03_15,03_16,03_17,03_18,03_19,03_20,03_21,03_22,03_23,03_24,03_25,03_26,03_27,03_28,03_29,03_30,03_31,04_01,04_02,04_03,04_04,04_05,04_06,04_07,04_08,04_09,04_10,04_11,04_12,04_13,04_14,04_15,04_16,04_17,04_18,04_19,04_20,04_21,04_22,04_23,04_24,04_25,04_26,04_27,04_28,04_29,04_30,05_01,05_02,05_03,05_04,05_05,05_06,05_07,05_08,05_09,05_10,05_11,05_12,05_13,05_14,05_15,05_16,05_17,05_18,05_19,05_20,05_21,05_22,05_23,05_24,05_25,05_26,05_27,05_28,05_29,05_30,05_31,06_01,06_02,06_03,06_04,06_05,06_06,06_07,06_08,06_09,06_10,06_11,06_12,06_13,06_14,06_15,06_16,06_17,06_18,06_19,06_20,06_21,06_22,06_23,06_24,06_25,06_26,06_27,06_28,06_29,06_30,07_01,07_02,07_03,07_04,07_05,07_06,07_07,07_08,07_09,07_10,07_11
Anderson,58199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,3,3,3,3,4,6,6,6,8,8,10,14,14,16,16,18,19,23,23,29,30,32,32,32,34,38,40,41,41,41,41,50,50,51,52,54,54,54,60,61,63,64,66,66,66,66,66,66,72,72,72,72,76,78,85,87,85,85,85,91,91,95,95,102,102,102,989,990,1003,1007,1006,1006,1006,1009,1013,1014,1017,1017,1016,1016,1032,1040,1063,1072,1070,1082,1082,1108,1152,1533,1761,1796
Andrews,22269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,10,10,10,11,11,11,12,13,13,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,24,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,30,30,33,35,42,44,44,44,46,51,56,63,73,73,75,82,89,90,98,103,103,103,120,132,132,155
Angelina,90437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,4,5,5,8,10,10,14,14,14,15,16,16,16,16,17,17,20,23,23,23,23,27,30,31,33,36,36,36,46,49,53,54,55,55,55,79,86,93,100,100,100,100,117,117,119,131,139,139,139,154,154,168,172,175,175,175,175,193,201,203,205,205,205,215,232,232,232,237,237,237,237,281,281,309,309,309,309,331,352,352,366,380,380,380,415,426,445,464,464,464,464,476,507,519,541,541,541,541,610,610,645,683,743
Aransas,27699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,10,10,10,12,16,17,20,23,24,28,31,34,35,43,44,46,49,50,50
Archer,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,7,7,8,8,8,8,8,10,11,11,10,10
Armstrong,1948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Atascosa,51831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,5,7,8,9,9,9,9,9,9,10,10,12,14,14,14,14,14,14,14,16,16,19,19,19,19,19,19,21,22,22,22,22,24,27,27,27,30,30,30,30,32,32,35,35,35,35,35,35,35,35,35,35,37,37,37,37,38,41,41,42,42,42,45,43,43,42,42,42,42,42,45,62,69,70,70,79,84,87,85,87,90,90,106,108,116,116,135,135,135,148,152,188,197,207
Austin,30402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,4,4,4,5,5,6,7,7,8,8,10,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,15,15,15,15,15,16,17,19,19,19,20,20,21,21,21,22,22,22,24,24,25,25,26,27,27,27,27,29,29,29,29,32,31,31,33,34,34,34,36,37,42,42,43,45,48,56,57,57,60,61,67,69,71,72,73,77,81,81,92,100,105,117,124,128
Bailey,7692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3,3,3,6,6,8,10,10,10,10,10,10,10,10,14,14,16,17,17,17,17,19,19,24,26,26,26,26,28,29,30,34,34,34,40,52,83,83,83,83,86,88,86,87,88,93,93,93,94,100,101,102,102,102,102,108,109,111,112,112
Bandera,21246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,13,15,15,15,16,15,15,16,16,16,16,16,21,22,23,27,27,27,27,27,33,38,44
Bastrop,86105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,6,6,7,7,7,7,9,11,15,17,16,19,20,19,19,19,32,37,42,42,43,44,49,51,53,57,57,58,59,59,67,73,82,83,86,89,98,100,107,106,108,109,110,117,120,125,128,132,132,132,148,152,161,173,173,177,182,184,190,196,200,204,211,212,220,231,240,245,250,255,255,270,279,285,288,293,295,295,313,338,346,338,340,340,363,369,373,386,407,415,417,439,442,446,458,457,468,468,522,522,619,659,689,727
Baylor,3624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bee,34445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,5,5,5,5,5,5,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,9,9,9,9,9,9,9,9,9,10,11,11,18,22,22,22,24,26,27,31,31,31,31,32,32,32,33,34,36,36,36,36,38,39,43,43,46,46,47,51,55,59,69,85,91,98,135,133,135
Bell,353629,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,3,16,18,19,20,28,28,28,36,44,46,51,51,58,58,68,71,74,84,91,101,101,107,110,115,124,126,126,126,135,145,153,161,165,165,165,173,180,189,189,193,194,194,210,210,213,218,220,220,220,223,231,237,242,248,248,248,260,267,282,294,298,298,298,298,329,335,345,356,362,378,391,411,423,432,446,446,446,473,507,530,574,605,629,629,651,672,722,769,818,822,822,875,925,1009,1077,1128,1128,1128,1187,1315,1394,1480,1523,1523,1523,1626,1734,1852,1992,2083
Bexar,2093502,0,0,0,0,0,0,0,0,3,3,3,4,6,12,24,24,24,57,69,84,113,125,140,157,168,207,229,254,342,384,410,456,503,554,615,665,723,772,794,815,890,918,959,992,1015,1029,1080,1126,1167,1195,1231,1254,1275,1307,1326,1374,1477,1585,1613,1652,1677,1761,1805,1835,1901,1901,1920,1942,1976,2041,2120,2120,2120,2192,2278,2322,2371,2392,2418,2442,2449,2480,2525,2583,2636,2825,2830,2839,2882,2953,3018,3143,3290,3311,3333,3513,3648,3840,4012,4242,4393,4437,4876,5142,5550,5962,6344,6882,7156,7467,7814,8452,8857,9652,10147,10797,12065,12504,12878,14212,14553,14751,15102,15880,16725,17679,18602
Blanco,11504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,9,10,11,11,11,11,11,11,11,11,11,12,12,11,11,11,11,11,11,12,13,14,14,14,22,24,27,27,26,26,26,27,27,27,29,31,31,31,31,31,49,50,49,49
Borden,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosque,17765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,13,13,14,15,16,16,16,18,18,33,36,37,41
Bowie,92570,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,3,3,4,9,9,9,10,17,17,14,17,20,23,29,30,32,32,32,37,45,53,56,57,57,64,66,66,67,67,68,68,69,69,70,74,76,76,76,79,76,76,76,76,76,76,80,82,120,122,130,133,133,137,174,176,154,154,153,153,147,156,189,191,197,265,267,270,287,296,301,312,336,336,351,358,363,367,370,373,372,377,381,384,394,398,400,400,404,406,413,415,418,418,430,427,438,439,444,449,458,461,462,467,471,484,496
Brazoria,375869,0,0,0,0,0,0,0,0,2,2,2,2,2,3,9,12,12,18,19,33,39,52,61,61,79,95,109,123,136,144,144,167,173,184,199,216,225,237,250,259,272,285,302,304,315,333,345,382,392,417,445,449,464,476,485,509,537,542,551,566,570,588,613,644,656,661,673,686,710,712,721,727,767,786,795,805,816,825,835,838,843,853,861,882,894,907,917,929,941,957,967,990,990,990,758,770,790,813,813,850,864,1495,1525,1558,1609,1669,1728,1762,1814,1838,1913,1986,2064,2161,2217,2269,2336,2438,2516,2626,2715,2829,2925,3036,3146,3272,3358
Brazos,229410,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,12,16,21,30,36,40,44,46,53,63,68,72,75,94,94,97,108,114,116,134,140,143,149,151,158,164,169,170,170,173,177,177,181,181,182,182,188,193,197,202,208,208,209,219,232,243,256,265,271,278,287,301,305,312,318,325,333,341,362,373,383,436,438,441,444,455,463,470,477,483,487,501,517,532,565,605,626,634,665,684,710,721,781,803,821,880,1025,1095,1163,1225,1244,1260,1305,1377,1493,1615,1720,1822,1943,2005,2127,2228,2331,2401,2484,2532,2626,2704,2804,2901
Brewster,9133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,7,11,13,18,22,24,24,24,39,45,61,76,85,85,85,85,130,136,142,143,143,143,143,146,147,148,150,150
Briscoe,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,7,7,7,8,8,9,9,9
Brooks,7175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,6,6,9,9,10,11,18,29,35,37
Brown,38923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,3,4,4,5,6,6,6,8,8,10,10,10,11,11,12,12,12,13,13,13,13,13,17,17,17,28,34,34,36,36,36,36,36,38,38,38,38,38,38,38,38,51,51,51,51,51,51,51,55,55,55,56,56,56,57,57,57,58,58,58,58,59,59,59,59,59,59,59,60,60,60,60,60,60,60,61,61,61,62,62,62,62,65,65,66,68,68,68,68,73,77,85,87,99,99,99,99,117,156,156,171
Burleson,17718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,5,5,5,6,6,6,6,6,8,8,9,8,8,8,9,10,11,11,11,11,11,12,12,12,13,14,14,14,14,14,14,15,15,15,15,16,16,17,17,18,18,18,20,20,20,22,22,22,22,22,22,23,24,24,24,25,25,26,28,29,32,32,32,35,39,39,40,41,41,41,45,48,53,53,54,55,60,67,67,68,69,70,74,76,76,83,84,86,87,87,93,93,120,131,134,148
Burnet,48196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,8,8,8,9,13,13,14,14,14,14,15,15,16,19,19,20,19,23,24,24,24,25,26,26,26,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,30,32,35,36,37,38,39,45,49,49,51,54,54,55,55,56,56,61,62,62,62,66,75,79,80,80,89,97,100,100,115,116,117,129,129,135,141,143,145,145,181,181,203,215,217,230
Caldwell,44284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,4,5,5,5,6,6,6,6,6,6,7,7,7,7,8,9,8,10,10,10,11,11,11,11,14,14,20,20,21,23,24,25,25,26,27,30,31,33,33,35,36,36,36,39,39,41,49,50,50,50,51,52,57,63,64,65,66,67,73,73,74,76,77,77,79,81,85,87,95,147,147,157,170,190,197,208,216,226,275,286,286,297,303,307,332,336,346,377,383,437,437,449,449,539,580,604,645
Calhoun,22840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,7,8,8,8,11,12,12,12,13,14,14,15,15,19,19,19,21,21,21,21,21,22,23,23,26,26,29,30,30,30,30,31,32,33,34,34,34,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,39,39,41,42,45,46,46,46,46,46,46,46,52,55,55,55,56,58,69,69,72,72,72,74,90,94,96,97,97,97,110,113,126,143,153
Callahan,13456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,5,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,12,12,13,13,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,17,17,18,19,19,19,24,25,25,26,27
Cameron,427881,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,6,6,7,10,13,20,20,26,26,37,55,62,77,87,101,108,118,147,159,195,195,216,239,254,270,279,298,298,310,310,321,333,354,366,366,376,387,401,412,421,432,432,443,454,469,483,494,512,512,527,544,569,582,582,619,619,635,649,664,664,686,698,698,698,711,731,743,754,764,764,776,799,820,841,863,892,892,919,951,990,1031,1081,1138,1138,1178,1236,1301,1371,1454,1546,1546,1647,1758,1881,1972,2085,2183,2183,2296,2399,2510,2611,2692,2779,2779,2880,2997,3120,3246,3496
Camp,13322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,11,13,16,21,21,24,26,29,32,39,41,42,44,51,58,74,81,82,83,84,84,84,85,87,91,92,92,95,95,98,98,105,106,108,109,109,109,109,110,110,110,110,113,113,116,117,117,117,117,118,120,122,123,123,123,126,128,130,130,131
Carson,5799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,10,10,10
Cass,30327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,4,4,4,4,3,4,4,4,4,4,5,5,5,5,5,5,10,11,11,10,10,10,12,12,13,13,13,13,13,14,15,15,15,16,17,17,17,17,20,20,17,17,17,18,19,19,20,21,21,21,21,21,21,21,23,25,29,29,29,29,29,30,30,30,30,31,31,31,32,32,33,34,34,34,34,34,35,36,36,36,36,36,36,36,37,37,37,37,38,38,41,44,44,46,48,49,50,52,52,52,52
Castro,7103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,8,8,8,8,8,8,9,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,13,13,13,13,13,13,13,13,15,15,15,18,18,20,22,22,22,23,23,23,24,25,27,26,27,27,28,28,29,31,32,32,32,32,32,32,32,33,33,33,33,33,34,34,35,35,35,36,37,37,39,42,42,42,48,48,50,51,51,51,58,63,65,70,73,74,74,74,75,87,93,97,99,99,99,108,107,110,112,120
Chambers,42320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,5,8,9,9,11,11,11,11,17,19,22,24,24,29,29,29,31,33,34,35,35,35,35,36,39,41,41,41,41,41,41,41,42,43,44,45,45,45,47,47,48,49,50,50,50,50,52,52,53,53,55,58,58,58,58,59,61,61,62,62,65,67,68,68,68,69,70,73,76,76,79,83,86,88,98,104,106,109,116,128,130,138,149,156,156,175,181,191,198,250,272,272,288,308,334,352,352,352,352,454,454,469,548,555
Cherokee,52178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,5,5,5,5,5,6,6,6,6,6,6,6,7,7,8,8,8,8,8,8,8,8,12,12,12,12,14,14,14,16,17,17,17,19,20,20,18,18,18,18,23,27,27,31,34,34,34,36,38,44,41,42,42,42,42,44,44,44,44,44,44,46,47,49,50,52,52,52,54,54,54,54,54,54,54,61,61,65,67,67,67,67,77,82,87,93,105,105,130,148,147,172,188,212,212,212,250,270,286,331,357
Childress,7062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Clay,9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,8,8,9,9,9,9,9,13,13,14,16
Cochran,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,5,6,6
Coke,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
