tsa,rac,tsa_counties,location,date,total_beds_available,bed_occupied,bed_capacity,icu_beds_available,general_beds_available,beds_picu,beds_ped,beds_psych,beds_neg_iso,total_er_visits_in_last_24_hours,covid_er_visits_last_24hrs,susp_covid_gen_admitted_24,susp_covid_icu_admitted_24,total_covid_in_hosp_at_time_of_report,lab_con_gen,lab_con_icu,total_laboratory_confirmed,icu_beds_occupied,icu_bed_capacity,vents_in_use,vents_available,bi_pa_ps_in_use,bi_pa_ps_available,anesthesia_machines_available,anesthesia_machines_in_use,total_covid_on_vents,bed_avail_rate,icu_avail_rate,vent_avail_rate
TSA-A,Panhandle,Armstrong,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Briscoe,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Carson,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Childress,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Collingsworth,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Dallam,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Deaf Smith,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Donley,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Gray,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Hall,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Hansford,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Hartley,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Hemphill,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Hutchinson,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Lipscomb,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Moore,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Ochiltree,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Oldham,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Parmer,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Potter,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Randall,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Roberts,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Sherman,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Swisher,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-A,Panhandle,Wheeler,Amarillo,2020-06-23T00:00:00Z,400,666,1066,43,250,14,64,0,29,341,41,2,2,4,19,8,27,104,147,18,118,21,47,25,0,0,0.38,0.29,0.87
TSA-B,Panhandle,Bailey,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Borden,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Castro,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Cochran,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Cottle,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Crosby,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Dawson,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Dickens,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Floyd,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Gaines,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Garza,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Hale,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Hockley,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Kent,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,King,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Lamb,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Lubbock,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Lynn,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Motley,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Scurry,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Terry,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-B,Panhandle,Yoakum,Lubbock,2020-06-23T00:00:00Z,359,891,1250,35,208,20,42,0,54,613,52,18,6,5,23,11,34,125,160,41,159,22,69,25,0,1,0.29,0.22,0.8
TSA-C,NCTTRAC,Archer,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Baylor,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Clay,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Foard,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Hardeman,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Jack,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Montague,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Wichita,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Wilbarger,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-C,NCTTRAC,Young,Witchita Falls,2020-06-23T00:00:00Z,260,323,583,12,233,0,7,0,8,273,35,7,0,9,6,1,7,31,43,8,27,4,10,23,0,0,0.45,0.28,0.77
TSA-D,NCTTRAC,Brown,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Callahan,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Coleman,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Comanche,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Eastland,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Fisher,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Haskell,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Jones,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Knox,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Mitchell,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Nolan,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Shackelford,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Stephens,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Stonewall,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Taylor,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-D,NCTTRAC,Throckmorton,Abilene,2020-06-23T00:00:00Z,439,547,986,20,283,3,29,66,38,423,31,10,2,16,1,4,5,43,63,6,58,2,21,29,0,0,0.45,0.32,0.91
TSA-E,NCTTRAC,Collin,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Cooke,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Dallas,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Denton,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Ellis,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Erath,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Fannin,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Grayson,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Hood,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Hunt,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
TSA-E,NCTTRAC,Johnson,Dallas/Ft. Worth,2020-06-23T00:00:00Z,3113,11521,14634,405,1866,29,196,199,418,8149,1745,467,101,592,755,375,1130,1509,1914,787,1271,323,853,363,136,207,0.21,0.21,0.62
